no.,content,Label
1,"Iklan aplikasi gak ngotak ,muncul di mana2 , ganggu banget , sudah durasi lama sering lagi muncul, instal aplikasi buat bikin bintang 1 doang",negatif
2,Aplikasi tdk jelas. Pengisian data sdh lengkap. Malah di alihkan ke aplikasi lain. Peringatan keras. Tolong hapus data sy. Jgn sampai di salah gunakan ya.,negatif
3,"Baru daftar, malah ditelpn terus sama pihak ada kami dengan nomor yg berbedaðŸ˜‚ ganggu aja seriusan, pdhl niatnya mau daftar doang, blm ada niatan minjem. Auto langsung hapus akun nya. Ga suka ditelpon2, serasa ditagih hutangðŸ˜‚ðŸ˜‚ pdhl blm minjem. Tolong prosedur kerja nya ditingkatkan, jgn sampe ganggu customer. Awas aja kalo sampe dataÂ² gw kesebar. Soalnya baru ini daftar akun pinjol. Kalo sampe kesebar behh parah",negatif
4,"Biaya layanannya hampir 100%. Jd kalau mau pinjam 5jt, siap2 total bayarnya nanti hampir 10jt. Teliti dulu sebelum menggunakan aplikasi ini, jgn ceroboh seperti saya.",negatif
5,"Lumayanlah bisa dipakai pas lagi mendesak.. Kalau lihat bunga 0,4%/hari sih kecil lah.. Tp kalau sebulan sampai juga 12% perbulan Kalah rentenir yang hanya 3% perbulan Ga lagi2 deh pake aps ini... Berat di bunga... Memang di OJK ada bunga segitu tinggi???",negatif
6,"Jaringan layanannya buruk gak ada gunanya pas mau bayar selalu ada gangguan jaringan macam mana saya mau bayar, melelahkan saja saya pulang pergi mau bayar tapi selalu gangguan jaringan nyesal aja saya makai adakami ini",negatif
7,"Yth , pengguna aplikasi Adakami APRIALIS Hallo , Saat ini kami infokan tagihan anda di aplikasi Adakami sudah jatuh tempo 8 hari , total tagihan adalah Rp12144.0, Segera lakukan pembayaran tagihan tertunggak Anda sekarang melalui Virtual Account yang tertera di Aplikasi AdaKami, atau dengan masuk, ini lama2 ni aplikasi menjebak,, ini apaan maksud anda?? Perlu kita usut kepolisian,, ini namanya kalian mengada ngada ni,,",negatif
8,"Saya mencoba daftar karena cuma ingin tau apakah benar sesuai dengan yang ada di iklan. Benar limit besar tp biaya penanganan hampir 50% lebih. Jadi mending ga usah instal ni aplikasi. Dan juga saya minta data saya di hapus di data base karena jika nanti ada data saya yang dibuat untuk keperluan anda, saya bisa laporkan anda ke pihak berwajib. 13 okt 2023",negatif
9,"Aplikasi berisik, agen nya wa atau tlpn kalimatnya ga pernah di masukin ke sekolah, ngomongnya pada kaya motor yg CC nya gede, udh bayar juga kadang msh di chatin tolong tuh di evaluasi.",negatif
10,"Untuk Adakami tolong hapus data saya secara keseluruhan ya, jangan salahgunakan data saya jika terdapat data saya yang mengatasnamakan saya. Saya pastikan itu bukan saya. Bandung, 13/10/2023 saya Uninstall apk ini. Terima kasih",negatif
11,"Bukan mau minjem,cuman mau bilang iklannya sangat mengganggu maksa bgt iklannya muncul terus.......",negatif
12,"Woiii iklan yang ngotak !!!!, dimana mana iklan lu muak gw ,udah iklan gak bermutu gini sesat jelek juga heran gw iklan gk bermutu gini tampil mulu gak bisa di skip pula !!!",negatif
13,"Bagus aplikasinya iklannya apalagi,cuma nga jelas sampai saat ini aplikasi mengulur2 waktu dan selalu di tolak pinjamannya Saya turunin dulu bintangnya karena belum di setujui ,klu sudah baru saya naikkan lagi Bintang 5 Turunin lagi bintang satu ,semakin nga jelas limitnya muncul turun lagi limitnya dan malah di tawarin pinjaman lain makin nga jelas ,kalau sudah jelas aplikasinya baru bintang Lima",negatif
14,"Tolong kak,kerja samanya,kenapa pas sebelum tanggal pembayaran saya udah bayar,tapi kenapa pas saya bayar gak ada sama sekali tertera di aplikasi nya,ya saya akui saya bayar melebih sedikit,tapi kenapa kalau emang gak bisa,tolong duitnya di kembalikan/reversal ke rek saya lagi,supaya saya bisa membayar lagi,tolong kerja samanya juga,apakah aplikasi nya rusak,kenapa kalau mau bayar,tunggu proses 24 jam dulu,ada apa ini?jangan buat orang jadi kebingungan, padahal sy TF dari BNIðŸ˜­ðŸ™",negatif
