content,Label
Pertama kali si ACC terus pinjam lunas pinjam lagi setelah di bayar langsung lunas pinjaman selalu di tolak sudah 2 bulan di tolak terus kecewa sama aplikasi ini,negatif
"Bang ngapain si pinjol kamu telp ke nomor saya terus ganggu tau, saya gk pernah utang pinjol bang tolong",negatif
Tolong di hapus data saya kerna gak di kasih pinjaman nya jga,negatif
"awal kredit langsung oke"" aja. pdahal plunasan cepat. mo ajukan lagi lalu nda bisa. asli kek penipuan ðŸ¤¡",negatif
D lunasin malah g naek limit aplikasi kentutðŸ˜€ðŸ˜€aneh,negatif
Ojo,negatif
Tak jelasss,negatif
iya,positif
Tolong data saya jangan disalahgunakan saya sudah uninstal,negatif
Jangan di download enggak bakalan cairÂ² apk gak guna,negatif
Padahal sebelum jatuh tempo saya udah bayar tapi setelah mau ajuakan pinjam lagi udah di tolak,negatif
Ga bagus,negatif
Saya belum pernah pinjam tapi tiba2 akun ke lock ga bisa pinjam sangat membingunggkan,negatif
Saya kecewa dengan aplikasi ini saya sudah menggunakan aplikasi ini sejak lama tapi pas saya mau pengajuan kembali di aplikasi ini malah tidak lolos verifikasi padahal saya sudah melunasi semua cicilan saya,negatif
CUMA DAFTAR DOANG MALAH SPAM TELFON ANJG,negatif
riba dosa,negatif
pinjaman 100rb emang gue anak kecil,negatif
"Maaf untuk easy saya customer yang selalu bayarnya tepat waktu, dan baru kemarin saya lunasi sebelum jatuh tempo, lalu saya mau pinjam lagi tidak bisa, tolong beri penjelasan ya",negatif
Sya minta tolong hapus data data saya. Krna dia saat saya butuh tidak bisa mengajukan minjam sya mohon hapus dadata data saya ðŸ™,negatif
bagus skali,positif
wagu,negatif
Mendapatkan hutang aja bangga,negatif
Aplikasi ðŸ¥µ,negatif
D telpon dr pihak easycash d suruh donwlod buat pengajuan kt nya no sya terpilih mendapat kn potongan bunga rendah.ehhh bgitu slesai dowload bru aj cek limit dan foto ktp.sudah gagal dan d tolak.gmn sih ini.ap maksd nya blg pasti lolos lh ini it lh.klw emg gk bs gk usah nyuruhÂ² dowlod buruÂ²,negatif
Sudah di isi semua data langsung di tolak hehe..padahal saya belum pernah minjam samasekali.....mending uninstall,negatif
Iklan setan,negatif
"Aneh sungguh aneh, baru isi data sudah pengajuan ditolak hadehhh,,, tolong jangan salah gunakan data saya, terimakasih",negatif
Sangat tidak baik masa iklan nya bagus pas mau pinjam..tdk sesuai dengan iklan,negatif
