content,Label
gak,negatif
aplikasi bodong udah lunas limit turun gak pinjam,negatif
aplikasi gg bener pinjam tolak limit dana cicil aku kasi yg dulunya pinjam hasil bayar bunga aju tolak alesannya sistem sistem yg manusia payah,negatif
hati tipu aju pinjam tuju uang masuk tagih aplikasi tipu chat cs yg bales bot telp cs asal,negatif
lunas telpon tagih maksud gimana,negatif
rugi,negatif
akulaku ga danta minjam lolos ga telat bayar minjam ga lolos koplak emg,negatif
bayar tagih gk telat gilir minjam gk parah si,negatif
parah bodoh akulaku bangkrut bayar lunas gk telat ngajuin limit minim kaya tempe,negatif
ga leter,negatif
app aneh orang tdk pinjam teror suruh bayar,negatif
tolong ya ngasih limit yg bener kasih limit yg dipake kasih limit dipake gimana transaksi ambil barang apa paylater tdk dipake,negatif
akulaku pergunakansaya milik tunggakanmohon bantuannyaterimakasih,negatif
baik bug nya paylater gak keluh org bgtu gak ubah,negatif
bagus mantab,positif
udah gak cicil sy gk pinjam akulaku slalu tawar pinjam sayang paylater pinjam jujur sy kecewa akulaku sy uninstal akulaku layan akulaku udah gak bagus,negatif
aplikasi profesional,negatif
bobrok lunas aju tolak hati tipu data,negatif
ga banget ni aplikasi stlh lunas ga ngajuin bayar cepet salah bayar lambat salah tutup aja drpd ga,negatif
aplikasi nya sih bagus sayang data lindung kredit barang barang yg nelpon mengatasnamakan akulaku dg alas konfirmasi pesan beneran tipu kena tipu jt,negatif
hati hati apk penipuanya gaes,negatif
aneh banget limit turunin bayar udah engga bener banget ni aplikasi awalanya suka banget aplikasi bantu ujung ujung kecewa banget,negatif
terimakasi info tmn donlod takut pinjem akulaku-pinjeman  jerat,negatif
aga kecewa tenor pinjam ga pilih bikin kali bayar,negatif
plis akulaku pinjam sya tolong acc asa kredit sya gk prnah telat byar tpat tpi knpa tolak mulu,negatif
tolong hpus data sayaakulaku gak jls pinjam sllu gagalawal bgus skrg gak jengkel,negatif
dukung,positif
aplikasi istimewa udah coba aplikasi ribet proses beda akulak yg mudah step step syarat yg butuh ktp aja cepat diacc solusi finance uang layak udah kali pinjam hasil mudah kembali hambat dalam,positif
bantu kecewa lunas pinjam bln sblum ngajuin lgi tpi ga,positif
aplikasi ok,positif
oke,positif
bgus tahan aja,positif
good,positif
bantu,positif
good,positif
bagus bantu,positif
terimakasih moga amanah,positif
thebest,positif
sya neng apk wlu blm pernh blnja pengaktipan limit acc lngsung,positif
tolong acc pinjam obat,positif
bagus,positif
mantap,positif
bagus,positif
keren ya puasss beli sja belanja apk akulaku dpt limit gak ribet,positif
guna pinjam cepat konfirmasi sayang tenor singkat bulan tolong donk min tambahin tenor yg dgn bunga rendah ,positif
mantap batu terima kasih akulaku,positif
bantu,positif
bagus,positif
good,positif
the best akulaku bantu nasabah,positif
