content,Label
kali si acc pinjam lunas pinjam bayar langsung lunas pinjam tolak tolak kecewa aplikasi,negatif
bang ngapain si pinjol telp nomor ganggu tau gk utang pinjol bang tolong,negatif
tolong hapus data kerna gak kasih pinjam nya jga,negatif
kredit langsung oke aja pdahal plunasan cepat mo aju nda asli kek tipu ,negatif
lunasin naek limit aplikasi kentutaneh,negatif
ojo,negatif
jelasss,negatif
tolong data disalahgunakan uninstal,negatif
download cair apk gak,negatif
jatuh tempo udah bayar ajuakan pinjam udah tolak,negatif
ga bagus,negatif
pinjam akun lock ga pinjam membingunggkan,negatif
kecewa aplikasi aplikasi pas aju aplikasi lolos verifikasi lunas cicil,negatif
daftar doang spam telfon anjg,negatif
riba dosa,negatif
pinjam rb emang gue anak,negatif
maaf easy customer bayar kemarin lunas jatuh tempo pinjam tolong jelas ya,negatif
sya tolong hapus data data krna butuh aju minjam sya mohon hapus dadata data ,negatif
wagu,negatif
hutang aja bangga,negatif
aplikasi ,negatif
telpon dr easycash suruh donwlod aju kt nya no sya pilih kn potong bunga rendahehhh bgitu slesai dowload bru aj cek limit foto ktpsudah gagal tolakgmn sih iniap maksd nya blg lolos lh it lhklw emg gk bs gk nyuruh dowlod buru,negatif
isi data langsung tolak hehepadahal minjam samasekalimending uninstall,negatif
udah minjam kali aplikasi ga telat bayar tgl bayar yh eh gajuin yg eh mohon maaf tuk saldo blm tolong data hapus udh ga pinjam,negatif
sdah brapa kali lunas limit turun,negatif
easy cash mudah aman bantu thanks bossku,positif
mantap,positif
aku mudah proses cair cepat,positif
easycash emang butuh,positif
good,positif
cair cepet gak sampe menit,positif
moga cair,positif
easycash bantu adlah pinjamanyg baik temu tlong aju selajut nya,positif
keren mula pinjem gede,positif
kali bagus,positif
mantap cepat proses nya,positif
bantu,positif
neng join bisnis,positif
mntp dengn aplikasi senank skali,positif
puas aplikasi aju data gk ribet proses nya cepat gk nunggu jam kek aplikasi belah mending kalo lolos  canda lolos  yg tentu langsung dpat limit kredit lngsung cair menit cair nya cepat aplikasi nya gk ribet kayak,positif
terima kasih easycash,positif
terimakasih aplikasi bantu,positif
amanah mudah,positif
manfaat,positif
bunga rendah bantu,positif
ribet mudah cair,positif
aneh limit udah jt turun rb gapapa,positif
coba mudamudahan lancar,positif
mantap,positif
bagus sekali,positif
